# file...... load/Load_100_Voltage.csv
# date...... Mon Jun  9 20:16:35 2025
# user...... root
# host...... (null)
# target.... load 331
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A, voltage_B, voltage_C
2001-08-01 13:00:00 PDT,+2483.51946886-1.00039613484d,+2468.44623341-120.574688961d,+2504.98604775+119.202382401d
2001-08-01 13:00:01.000000 PDT,+2483.51947642-1.00039602567d,+2468.44623319-120.574688917d,+2504.9860532+119.202382516d
2001-08-01 13:00:01.001000 PDT,+2483.47234916-1.00023102532d,+2468.40223035-120.57449082d,+2504.94138496+119.20250328d
2001-08-01 13:00:01.002000 PDT,+2483.38921528-0.999855492564d,+2468.32419648-120.574058875d,+2504.86243947+119.202803364d
2001-08-01 13:00:01.003000 PDT,+2483.27589451-0.999210090767d,+2468.21732996-120.573342818d,+2504.75452209+119.203347353d
2001-08-01 13:00:01.004000 PDT,+2483.13794177-0.998214771525d,+2468.08653686-120.572273047d,+2504.62262757+119.204220019d
