# file...... gen/Gen_2_Speed.csv
# date...... Mon Jun  9 20:16:35 2025
# user...... root
# host...... (null)
# target.... diesel_dg 3
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.0630124067742,+1.02707809999,-0.0700473126019,+1.03060976164+86.7248664302d,+1.03048958681+86.2646346319d,+0+0d,+0+0d,+0+0d,+0.0770437151121+67.2348321179d,+74998.3312354,+25006.5584325,+75054.1714721,+199.087373157,+199.087373157
2001-08-01 13:00:01.000000 PDT,+376.991118431,+0.0630117635797,+1.0270780945,-0.0700466225093,+1.0306097965+86.7248988422d,+1.03048958681+86.2646714842d,+2472.62649805-0.12502040305d,+2472.62649805-120.125020403d,+2472.62649805+119.874979597d,+0.0770435291341+67.2338166572d,+74998.3141341,+25006.5446729,+150016.014816,+397.929838348,+199.085631387
2001-08-01 13:00:01.001000 PDT,+377.040895009,+0.0630245328332,+1.02707187029,-0.0700458795286,+1.03029880945+86.7239156039d,+1.03028107016+86.2646548972d,+2472.12616908-0.124305365635d,+2472.12616908-120.124305366d,+2472.12616908+119.875694634d,+0.0762795532734+68.317104194d,+74998.3141441,+25006.5447072,+284477.993791,+754.501693467,+198.321761709
2001-08-01 13:00:01.002000 PDT,+377.133993406,+0.063109970557,+1.02704528507,-0.0700465352307,+1.02974060636+86.7221322785d,+1.02990426671+86.2623121793d,+2471.22204139-0.121752862578d,+2471.22204139-120.121752863d,+2471.22204139+119.878247137d,+0.0758022524851+69.6968458297d,+75044.2750221,+24438.9542423,+405286.352262,+1074.64816046,+198.490686796
2001-08-01 13:00:01.003000 PDT,+377.265804838,+0.0633090211303,+1.02698749653,-0.070052937634,+1.0289707274+86.719620826d,+1.02938086507+86.256108364d,+2469.96615603-0.116551920118d,+2469.96615603-120.11655192d,+2469.96615603+119.88344808d,+0.0759591874935+71.4344897707d,+75323.9816154,+23464.0350732,+513731.755684,+1361.72361528,+200.508037818
2001-08-01 13:00:01.004000 PDT,+377.432070489,+0.0636582138405,+1.02689001672,-0.0700707798693,+1.02802123442+86.7164275136d,+1.02873048513+86.244988373d,+2468.40559038-0.107664642551d,+2468.40559038-120.107664643d,+2468.40559038+119.892335357d,+0.0770140628209+73.5018116391d,+75964.6751437,+22137.8221518,+610980.350507,+1618.78228767,+204.980169147
