# file...... gen/Gen_1_Speed.csv
# date...... Mon Jun  9 20:16:35 2025
# user...... root
# host...... (null)
# target.... diesel_dg 2
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.00945302150644,+1.0010398363,-0.00885672259537,+1.00112852007+89.5739285172d,+1.00111616432+89.5141845766d,+0+0d,+0+0d,+0+0d,+0.00903620478415+83.748872413d,+89999.9715353,+8999.98219458,+90005.3189119,+238.74652349,+238.74652349
2001-08-01 13:00:01.000000 PDT,+376.991118431,+0.00945302107671,+1.00103983632,-0.00885672214651,+1.00112852006+89.5739285388d,+1.00111616432+89.5141846012d,+2402.145919+0.0558028125717d,+2402.145919-119.944197187d,+2402.145919+120.055802813d,+0.0090362042776+83.7488752248d,+89999.9716493,+8999.98214259,+90005.3143087,+238.746511279,+238.746511279
2001-08-01 13:00:01.001000 PDT,+376.991119271,+0.00945302107671,+1.00103963685,-0.00885670211183,+1.00111758723+89.5739240631d,+1.00110886402+89.5142015644d,+2402.12840216+0.0558197757665d,+2402.12840216-119.944180224d,+2402.12840216+120.055819776d,+0.0090248175406+84.1732613738d,+89999.9716492,+8999.98214266,+90005.4520169,+238.74687603,+238.615698811
2001-08-01 13:00:01.002000 PDT,+376.991121759,+0.00945302218403,+1.00103891015,-0.00885664665697,+1.0010979935+89.5739162277d,+1.00109565592+89.5142287316d,+2402.09670977+0.0558470064343d,+2402.09670977-119.944152994d,+2402.09670977+120.055847006d,+0.00900627455297+84.946578998d,+89984.425922,+8317.51590659,+90005.7589813,+238.747688702,+238.401042964
2001-08-01 13:00:01.003000 PDT,+376.991126597,+0.00945302635864,+1.00103741179,-0.00885654326658,+1.00107100259+89.5739057027d,+1.00107729346+89.5142628883d,+2402.05264962+0.0558814022372d,+2402.05264962-119.944118598d,+2402.05264962+120.055881402d,+0.00898410287019+86.028247346d,+89950.7538357,+7083.28998722,+90006.1830208,+238.748810438,+238.12604918
2001-08-01 13:00:01.004000 PDT,+376.991134386,+0.00945303627026,+1.00103495553,-0.00885638211479,+1.00103773591+89.5738930808d,+1.00105445548+89.5143019266d,+2401.99785063+0.0559210084438d,+2401.99785063-119.944078992d,+2401.99785063+120.055921008d,+0.00896188900057+87.381448151d,+89898.4096524,+5368.00778709,+90006.6094811,+238.749936727,+237.807312196
