# file...... inverter/Inverter_#4_MG2.csv
# date...... Mon Jun  9 20:16:35 2025
# user...... root
# host...... (null)
# target.... inverter_dyn 9
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,VA_Out.real,VA_Out.imag,V_In,VA_Out,Pref,Qref
2001-08-01 13:00:00 PDT,+209999.383902,+1.22002106167,+0,+209999.383905+0.000332867918234d,+210000,+0
2001-08-01 13:00:01.000000 PDT,+209999.36955,+1.20868726426,+0,+209999.369553+0.000329775651904d,+210000,+0
2001-08-01 13:00:01.001000 PDT,+209977.485043,+253.000130136,+0,+209977.637462+0.0690351761059d,+210000,+0
2001-08-01 13:00:01.002000 PDT,+209907.354771,+565.660653535,+0,+209908.116944+0.154400924475d,+210000,+0
2001-08-01 13:00:01.003000 PDT,+209747.864268,+924.742889456,+0,+209749.902775+0.252605773094d,+210000,+0
2001-08-01 13:00:01.004000 PDT,+209473.999098,+1315.10891372,+0,+209478.127282+0.359706697365d,+210000,+0
