# file...... inverter/Inverter_#2_MG1.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... inverter_dyn 7
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,VA_Out.real,VA_Out.imag,Pref,Qref
2001-08-01 13:00:00 PDT,+125999.981275,+0.01047428518,+126000,+0
2001-08-01 13:00:01.000000 PDT,+126000.000167,+0.000157150902965,+126000,+0
2001-08-01 13:00:01.001000 PDT,+125997.00084,+0.118549191586,+126000,+0
2001-08-01 13:00:01.002000 PDT,+125993.490822,+0.676318963727,+126000,+0
2001-08-01 13:00:01.003000 PDT,+125989.745287,+2.05272322926,+126000,+0
2001-08-01 13:00:01.004000 PDT,+125986.009754,+4.46127253067,+126000,+0
2001-08-01 13:00:01.005000 PDT,+125982.460481,+8.03886558764,+126000,+0
2001-08-01 13:00:01.006000 PDT,+125979.221842,+12.877229165,+126000,+0
2001-08-01 13:00:01.007000 PDT,+125976.378025,+19.0375676576,+126000,+0
2001-08-01 13:00:01.008000 PDT,+125973.981954,+26.5580206135,+126000,+0
